paper_id,paper_title,parent_id,parent_title
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1109/TSMC.1980.4308483,Optimal allocation of two-dimensional irregular shapes using heuristic search methods
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1007/978-3-540-85412-8_24,Adaptive layout for interactive documents
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.2312/eurp.20171182,Responsive data visualisation
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1016/S0734-189X(86)80047-0,Distance transformations in digital images
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1109/TVCG.2011.185,D3: Data-Driven Documents
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1109/TASE.2006.887158,A vision-based intelligent system for packing 2-D irregular shapes
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1109/ICPP.2017.47,Exploiting GPUs for fast force-directed visualization of large-scale networks
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.48550/arXiv.2007.15407,Composition and Configuration Patterns in Multiple-View Visualizations
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1007/978-3-642-25878-7_31,Force-directed Lombardi-style graph drawing
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1145/3397481.3450652,Interactive layout transfer
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1109/VL.1993.269619,Constraint-driven diagram layout
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,temp12,A grid-based approach to automating display layout
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,temp13,Optimizing Grid Layouts for Level-of-Detail Exploration of Large Data Collections
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1002/spe.4380211102,Graph drawing by Force-directed placement
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1007/978-3-540-24595-7_29,"A constrained, force-directed layout algorithm for biological pathways"
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1145/1520340.1520636,AdWiL: adaptive windows layout manager
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1145/3313831.3376777,Techniques for Flexible Responsive Visualization Design
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1145/1240866.1241024,Content-Aware Layout
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1145/882262.882353,Adaptive grid-based document layout
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1371/journal.pone.0098679,"ForceAtlas2, a continuous graph layout algorithm for handy network visualization designed for the Gephi software"
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1145/2449396.2449411,Recommendation system for automatic design of magazine covers
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1117/12.914596,Automatic design of magazine covers
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1109/PacificVis.2012.6183556,Exploring the Design Space of Composite Visualization
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1111/cgf.14321,Design Patterns and Trade-Offs in Responsive Visualization for Communication
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.48550/arXiv.1901.06767,Layoutgan: Generating graphic layouts with wireframe discriminators
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,temp26,A survey of automated layout techniques for information presentations
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1007/0-306-47025-X_36,A general algorithm for computing distance transforms in linear time
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1016/j.jvlc.2014.09.002,eulerforce: Force-directed layout for Euler diagrams
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1109/TVCG.2018.2865240,Formalizing visualization design knowledge as constraints: Actionable and extensible models in draco
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1109/TVCG.2018.2864903,What do we talk about when we talk about dashboards?IEEE Trans
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1109/TVCG.2016.2599030,Vega-Lite: A Grammar of Interactive Graphics
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1145/1378773.1378787,Adaptive layout for dynamically aggregated documents
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1111/j.1467-8659.2012.03041.x,Interactive self-organizing windows
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1109/2945.981851,"Polaris: a system for query, analysis, and visualization of multidimensional relational databases"
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1145/2901790.2901817,Sketchplore: Sketch and explore with a layout optimiser
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.5555/33404,The visual display of quantitative information
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.48550/ARXIV.2204.09904,Infographics Wizard: Flexible Infographics Authoring and Design Exploration
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1145/2642918.2647398,Global beautification of layouts with interactive ambiguity resolution
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1145/2818709,Automatic generation of visual-textual presentation layout
10.1145/3554944.3554950,Content-Driven Layout for Visualization Design,10.1145/3306346.3322971,Content-aware generative modeling of graphic design layouts
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",temp41,Colour for the Painter
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",temp42,An independent contribution of colour to the aesthetic preference for paintings
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",10.1002/col.22189,Supporting history of art with colorimetry: The paintings of Amadeo de Souza-Cardoso
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",10.1145/2733373.2806250,Who's Afraid of Itten: Using the Art Theory of Color Combination to Analyze Emotions in Abstract Paintings
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",temp45,The use of colour measurement in research into art heritage
